age,job,marital,education,default,housing,loan,contact,month,day,duration,poutcome
35,self-employed,divorced,tertiary,no,yes,no,unknown,may,23,736,unknown
30,blue-collar,single,secondary,no,yes,no,unknown,may,23,785,unknown
45,blue-collar,divorced,primary,no,yes,no,unknown,may,23,1030,unknown
45,admin.,married,secondary,no,yes,no,unknown,may,23,893,unknown
33,blue-collar,married,secondary,no,yes,no,unknown,may,23,588,unknown
44,management,divorced,tertiary,no,no,no,unknown,may,23,597,unknown
40,blue-collar,married,primary,no,yes,no,unknown,may,23,1015,unknown
31,blue-collar,married,secondary,no,yes,no,unknown,may,23,1392,unknown
30,technician,married,tertiary,no,yes,no,unknown,may,26,414,unknown
44,technician,divorced,secondary,no,yes,no,unknown,may,26,788,unknown
34,services,married,secondary,no,yes,no,unknown,may,26,682,unknown
37,blue-collar,married,secondary,no,no,no,unknown,may,26,679,unknown
28,self-employed,single,tertiary,no,yes,no,unknown,may,26,1560,unknown
32,admin.,single,secondary,no,yes,no,unknown,may,26,1234,unknown
37,blue-collar,divorced,secondary,no,yes,no,unknown,may,26,642,unknown
34,management,married,tertiary,no,yes,no,unknown,may,26,895,unknown
38,admin.,divorced,secondary,no,yes,no,unknown,may,26,431,unknown
28,admin.,single,secondary,no,yes,no,unknown,may,26,741,unknown
31,management,divorced,tertiary,no,yes,no,unknown,may,26,1272,unknown
59,services,married,secondary,no,yes,no,unknown,may,26,748,unknown
24,blue-collar,married,secondary,no,yes,no,unknown,may,26,896,unknown
26,services,single,secondary,no,yes,no,unknown,may,26,764,unknown
59,retired,single,secondary,no,yes,no,unknown,may,27,1063,unknown
30,entrepreneur,single,primary,no,yes,yes,unknown,may,27,1051,unknown
37,admin.,married,secondary,no,yes,no,unknown,may,27,731,unknown
30,admin.,single,secondary,no,yes,yes,unknown,may,27,751,unknown
25,blue-collar,married,secondary,no,yes,no,unknown,may,27,709,unknown
44,services,divorced,secondary,no,yes,yes,unknown,may,27,3094,unknown
29,management,married,tertiary,no,no,no,unknown,may,28,938,unknown
26,management,single,tertiary,no,yes,no,unknown,may,28,1560,unknown
26,technician,single,secondary,no,yes,no,unknown,may,28,576,unknown
27,services,single,secondary,no,yes,no,unknown,may,28,543,unknown
25,self-employed,single,secondary,no,yes,no,unknown,may,28,615,unknown
28,management,married,secondary,no,yes,no,unknown,may,28,507,unknown
23,services,single,secondary,no,yes,no,unknown,may,28,1183,unknown
34,management,single,tertiary,no,yes,no,unknown,may,28,864,unknown
28,student,single,secondary,no,yes,no,unknown,may,28,1730,unknown
51,entrepreneur,married,unknown,no,yes,no,unknown,may,28,560,unknown
35,blue-collar,married,secondary,no,yes,yes,unknown,may,29,543,unknown
35,admin.,married,secondary,no,yes,no,unknown,may,29,539,unknown
56,blue-collar,married,secondary,no,yes,no,unknown,may,29,791,unknown
45,unemployed,divorced,secondary,no,yes,no,unknown,may,29,746,unknown
60,blue-collar,divorced,secondary,no,yes,no,unknown,may,29,1207,unknown
56,technician,married,secondary,no,yes,no,unknown,may,29,535,unknown
27,management,single,tertiary,no,yes,no,unknown,may,29,789,unknown
30,admin.,married,secondary,no,yes,no,unknown,may,29,792,unknown
45,blue-collar,divorced,primary,no,yes,no,unknown,may,29,833,unknown
29,blue-collar,single,secondary,no,yes,no,unknown,may,29,814,unknown
38,management,divorced,tertiary,no,yes,no,unknown,may,29,1363,unknown
30,blue-collar,married,secondary,no,yes,no,unknown,may,29,1109,unknown
44,blue-collar,single,primary,no,yes,no,unknown,may,29,828,unknown
36,management,single,tertiary,no,yes,no,unknown,may,30,917,unknown
38,technician,married,secondary,no,yes,no,unknown,may,30,762,unknown
36,blue-collar,single,secondary,no,yes,yes,unknown,may,30,1133,unknown
37,management,divorced,secondary,no,yes,no,unknown,may,30,638,unknown
35,management,single,tertiary,no,yes,no,unknown,may,30,763,unknown
38,admin.,divorced,secondary,no,yes,no,unknown,may,30,604,unknown
40,services,married,primary,no,yes,no,unknown,may,30,854,unknown
42,unemployed,divorced,secondary,no,yes,no,unknown,may,30,855,unknown
46,management,divorced,tertiary,no,yes,no,unknown,may,30,1269,unknown
35,technician,divorced,secondary,no,yes,no,unknown,may,30,691,unknown
34,technician,divorced,secondary,no,yes,no,unknown,may,30,1097,unknown
32,services,married,secondary,no,yes,no,unknown,may,30,1236,unknown
50,unemployed,married,secondary,no,yes,no,unknown,may,30,886,unknown
35,blue-collar,married,secondary,no,yes,yes,unknown,may,30,1343,unknown
36,technician,single,secondary,no,yes,no,unknown,may,30,812,unknown
53,blue-collar,divorced,primary,no,yes,no,unknown,may,30,1980,unknown
46,management,single,tertiary,no,yes,no,unknown,may,30,984,unknown
26,management,single,tertiary,no,yes,no,unknown,may,30,228,unknown
45,technician,single,secondary,no,yes,no,unknown,may,30,891,unknown
31,unemployed,divorced,primary,no,yes,no,unknown,may,30,745,unknown
29,management,single,tertiary,no,yes,no,unknown,may,30,539,unknown
53,entrepreneur,single,secondary,no,yes,no,unknown,may,30,1044,unknown
27,blue-collar,married,primary,no,yes,no,unknown,may,30,1193,unknown
39,management,married,tertiary,no,yes,no,unknown,jun,2,526,unknown
36,services,married,secondary,no,yes,no,unknown,jun,2,394,unknown
41,blue-collar,married,primary,no,yes,yes,unknown,jun,2,659,unknown
36,services,married,primary,no,yes,no,unknown,jun,2,1036,unknown
32,technician,married,secondary,no,yes,no,unknown,jun,2,815,unknown
35,services,married,secondary,no,yes,no,unknown,jun,2,563,unknown
36,management,single,tertiary,no,yes,no,unknown,jun,2,1068,unknown
35,management,married,tertiary,no,yes,no,unknown,jun,2,230,unknown
30,blue-collar,single,secondary,no,yes,no,unknown,jun,2,747,unknown
42,blue-collar,married,secondary,no,yes,no,unknown,jun,2,671,unknown
42,technician,single,secondary,yes,yes,no,unknown,jun,2,555,unknown
32,blue-collar,married,primary,no,yes,no,unknown,jun,2,777,unknown
29,blue-collar,single,secondary,no,yes,no,unknown,jun,2,707,unknown
44,management,divorced,tertiary,yes,yes,no,unknown,jun,2,432,unknown
32,technician,single,secondary,no,yes,no,unknown,jun,3,1173,unknown
31,unemployed,married,secondary,no,yes,yes,unknown,jun,3,963,unknown
40,self-employed,married,secondary,yes,yes,yes,unknown,jun,3,941,unknown
43,entrepreneur,married,secondary,no,no,no,unknown,jun,3,1025,unknown
27,management,single,secondary,no,yes,no,unknown,jun,3,732,unknown
37,services,single,secondary,no,yes,no,unknown,jun,3,1045,unknown
23,services,single,secondary,no,yes,no,unknown,jun,3,768,unknown
25,management,married,primary,no,yes,no,unknown,jun,3,801,unknown
26,blue-collar,single,secondary,yes,yes,no,unknown,jun,3,482,unknown
47,blue-collar,divorced,primary,no,yes,no,unknown,jun,3,2456,unknown
35,admin.,married,secondary,no,yes,no,unknown,jun,3,1363,unknown
32,technician,single,tertiary,no,yes,no,unknown,jun,3,1336,unknown
45,management,divorced,secondary,no,yes,no,unknown,jun,4,633,unknown
30,admin.,divorced,secondary,no,yes,no,unknown,jun,4,524,unknown
29,services,single,secondary,no,yes,no,unknown,jun,4,578,unknown
38,blue-collar,married,primary,no,yes,no,unknown,jun,4,984,unknown
23,blue-collar,single,secondary,no,yes,no,unknown,jun,4,638,unknown
27,management,single,tertiary,no,yes,no,unknown,jun,4,767,unknown
27,management,single,tertiary,yes,yes,no,unknown,jun,4,525,unknown
29,services,single,secondary,no,yes,no,unknown,jun,4,563,unknown
30,self-employed,married,tertiary,no,yes,yes,unknown,jun,4,1449,unknown
36,blue-collar,married,primary,no,yes,no,unknown,jun,4,920,unknown
35,admin.,divorced,secondary,no,yes,no,unknown,jun,4,908,unknown
36,blue-collar,married,secondary,no,no,no,unknown,jun,5,208,unknown
59,retired,divorced,primary,no,yes,no,unknown,jun,5,910,unknown
47,entrepreneur,married,secondary,no,no,no,unknown,jun,5,1446,unknown
58,entrepreneur,married,tertiary,no,no,no,unknown,jun,5,1149,unknown
37,management,single,tertiary,no,no,no,unknown,jun,5,1123,unknown
46,admin.,single,secondary,no,yes,no,unknown,jun,5,508,unknown
43,blue-collar,single,secondary,no,yes,no,unknown,jun,5,736,unknown
27,management,single,tertiary,no,yes,no,unknown,jun,5,590,unknown
38,services,divorced,secondary,no,no,no,unknown,jun,5,636,unknown
53,housemaid,married,primary,no,no,yes,unknown,jun,5,701,unknown
47,blue-collar,married,secondary,no,no,no,unknown,jun,5,761,unknown
56,housemaid,divorced,primary,yes,no,no,unknown,jun,5,1558,unknown
41,housemaid,married,secondary,no,no,no,unknown,jun,5,1053,unknown
29,self-employed,married,secondary,no,yes,no,unknown,jun,5,562,unknown
50,technician,married,secondary,no,yes,no,unknown,jun,5,494,unknown
45,blue-collar,divorced,primary,no,no,no,unknown,jun,5,1018,unknown
35,blue-collar,married,secondary,no,yes,no,unknown,jun,5,884,unknown
26,technician,single,secondary,no,yes,no,unknown,jun,6,709,unknown
26,admin.,married,secondary,no,yes,yes,unknown,jun,6,1276,unknown
37,blue-collar,married,unknown,no,no,yes,unknown,jun,6,381,unknown
30,admin.,single,secondary,no,yes,no,unknown,jun,6,862,unknown
38,management,single,tertiary,no,yes,no,unknown,jun,6,460,unknown
37,services,divorced,secondary,no,yes,no,unknown,jun,6,467,unknown
53,technician,married,secondary,no,no,no,unknown,jun,6,648,unknown
29,blue-collar,single,primary,no,yes,no,unknown,jun,6,2653,unknown
35,management,single,tertiary,no,no,no,unknown,jun,6,1085,unknown
28,blue-collar,married,secondary,no,yes,no,unknown,jun,6,369,unknown
55,blue-collar,married,unknown,no,no,no,unknown,jun,6,685,unknown
49,management,divorced,secondary,no,yes,no,unknown,jun,9,1055,unknown
50,services,married,secondary,no,no,no,unknown,jun,9,882,unknown
43,management,single,tertiary,no,no,no,unknown,jun,9,901,unknown
58,self-employed,divorced,tertiary,no,no,no,unknown,jun,9,700,unknown
38,technician,married,primary,no,yes,no,unknown,jun,9,491,unknown
48,blue-collar,divorced,primary,no,no,no,unknown,jun,9,940,unknown
59,management,married,secondary,no,no,no,unknown,jun,9,3881,unknown
58,blue-collar,married,secondary,no,no,no,unknown,jun,9,486,unknown
36,self-employed,single,tertiary,no,no,no,unknown,jun,9,1137,unknown
42,entrepreneur,married,tertiary,no,no,no,unknown,jun,11,878,unknown
41,admin.,single,secondary,no,no,yes,unknown,jun,11,583,unknown
42,admin.,married,secondary,no,no,no,unknown,jun,11,1159,unknown
39,management,married,tertiary,no,no,yes,unknown,jun,11,893,unknown
57,housemaid,married,primary,no,no,yes,unknown,jun,11,867,unknown
52,retired,married,unknown,no,no,no,unknown,jun,11,706,unknown
59,retired,married,unknown,no,no,no,unknown,jun,11,1199,unknown
56,blue-collar,married,secondary,no,no,no,unknown,jun,11,935,unknown
49,management,married,tertiary,no,no,no,unknown,jun,11,586,unknown
35,blue-collar,divorced,unknown,no,no,no,unknown,jun,11,967,unknown
36,unemployed,married,secondary,no,no,no,unknown,jun,11,595,unknown
40,admin.,single,tertiary,no,no,no,unknown,jun,11,1290,unknown
55,blue-collar,married,secondary,no,no,no,unknown,jun,12,614,unknown
58,admin.,married,secondary,no,no,no,unknown,jun,12,885,unknown
39,self-employed,married,tertiary,no,no,no,unknown,jun,12,651,unknown
47,housemaid,single,tertiary,no,no,no,unknown,jun,12,993,unknown
40,management,married,secondary,no,yes,no,unknown,jun,12,577,unknown
35,blue-collar,married,tertiary,no,no,no,unknown,jun,12,1141,unknown
48,blue-collar,married,secondary,no,yes,no,unknown,jun,12,1268,unknown
48,management,divorced,tertiary,no,no,yes,unknown,jun,12,1243,unknown
24,blue-collar,single,secondary,yes,yes,no,unknown,jun,12,465,unknown
49,blue-collar,married,primary,no,yes,no,unknown,jun,16,513,unknown
36,blue-collar,married,secondary,no,yes,no,unknown,jun,16,686,unknown
52,retired,divorced,tertiary,no,yes,yes,unknown,jun,16,741,unknown
42,entrepreneur,single,unknown,no,no,no,unknown,jun,16,617,unknown
36,services,married,secondary,no,no,no,unknown,jun,16,1093,unknown
36,blue-collar,divorced,secondary,no,yes,no,unknown,jun,16,1395,unknown
48,unemployed,single,tertiary,no,no,no,unknown,jun,16,1089,unknown
51,management,single,secondary,no,yes,no,unknown,jun,16,1248,unknown
51,blue-collar,married,secondary,no,no,yes,unknown,jun,16,721,unknown
46,technician,married,secondary,no,yes,no,unknown,jun,16,750,unknown
37,management,married,tertiary,no,no,no,unknown,jun,16,637,unknown
36,entrepreneur,married,tertiary,no,no,no,unknown,jun,16,2769,unknown
47,management,married,secondary,no,no,no,unknown,jun,17,556,unknown
40,technician,divorced,tertiary,no,no,no,unknown,jun,17,522,unknown
38,student,single,tertiary,no,no,no,unknown,jun,17,1345,unknown
40,management,married,secondary,no,no,no,unknown,jun,17,676,unknown
39,blue-collar,married,primary,no,yes,no,unknown,jun,17,775,unknown
60,management,married,tertiary,no,no,no,unknown,jun,17,2621,unknown
39,self-employed,single,tertiary,no,no,no,unknown,jun,18,1029,unknown
51,services,divorced,secondary,no,no,no,unknown,jun,18,371,unknown
27,admin.,married,secondary,no,yes,no,unknown,jun,18,1528,unknown
41,management,single,tertiary,no,no,no,unknown,jun,18,1540,unknown
42,blue-collar,single,primary,no,no,no,unknown,jun,18,973,unknown
41,entrepreneur,married,secondary,no,no,no,unknown,jun,18,707,unknown
33,technician,married,secondary,no,yes,yes,unknown,jun,18,625,unknown
46,admin.,married,secondary,no,no,no,unknown,jun,18,1255,unknown
31,blue-collar,married,secondary,no,yes,no,unknown,jun,18,704,unknown
41,blue-collar,married,primary,no,no,yes,unknown,jun,18,1574,unknown
41,blue-collar,divorced,secondary,no,no,no,unknown,jun,19,1135,unknown
55,retired,divorced,secondary,no,no,yes,unknown,jun,19,1007,unknown
53,technician,married,secondary,no,no,no,unknown,jun,19,1318,unknown
55,housemaid,married,primary,no,no,no,unknown,jun,19,922,unknown
39,services,married,secondary,no,yes,no,unknown,jun,19,585,unknown
40,entrepreneur,married,tertiary,yes,no,no,unknown,jun,19,952,unknown
59,retired,married,primary,no,no,no,unknown,jun,19,834,unknown
42,blue-collar,single,secondary,no,no,no,unknown,jun,19,651,unknown
41,blue-collar,married,primary,no,no,no,unknown,jun,19,683,unknown
27,blue-collar,married,secondary,no,yes,no,unknown,jun,19,1012,unknown
25,blue-collar,single,secondary,no,yes,no,unknown,jun,19,958,unknown
43,unemployed,married,primary,no,no,no,unknown,jun,20,973,unknown
44,services,married,secondary,no,no,yes,unknown,jun,20,911,unknown
26,blue-collar,single,secondary,no,yes,no,unknown,jun,20,382,unknown
52,retired,married,tertiary,no,no,no,unknown,jun,20,1210,unknown
54,services,married,unknown,no,no,yes,unknown,jun,20,838,unknown
56,management,married,tertiary,no,no,yes,unknown,jun,20,422,unknown
57,management,married,tertiary,no,no,yes,unknown,jun,20,1098,unknown
29,blue-collar,single,secondary,no,yes,no,unknown,jun,20,1663,unknown
47,technician,married,tertiary,no,no,yes,unknown,jun,20,560,unknown
57,management,married,tertiary,no,yes,yes,unknown,jun,20,1617,unknown
40,blue-collar,married,secondary,no,yes,yes,unknown,jun,20,570,unknown
46,services,divorced,secondary,no,no,no,unknown,jun,20,1023,unknown
43,blue-collar,single,secondary,no,yes,no,unknown,jun,20,585,unknown
45,management,married,tertiary,no,no,no,unknown,jun,20,693,unknown
24,management,married,secondary,no,yes,no,unknown,jun,20,546,unknown
40,blue-collar,married,secondary,no,yes,yes,unknown,jun,20,1036,unknown
38,services,divorced,unknown,no,no,no,unknown,jun,20,1409,unknown
36,unemployed,married,tertiary,no,no,no,unknown,jun,20,988,unknown
27,blue-collar,single,secondary,yes,no,no,unknown,jun,23,498,unknown
26,admin.,single,primary,no,yes,no,unknown,jun,23,670,unknown
43,management,married,tertiary,no,yes,no,unknown,jun,23,662,unknown
25,blue-collar,single,primary,no,yes,no,unknown,jun,24,528,unknown
27,blue-collar,married,tertiary,no,yes,no,unknown,jun,26,519,unknown
30,technician,married,tertiary,no,yes,yes,unknown,jun,26,677,unknown
28,admin.,single,secondary,no,no,yes,unknown,jun,26,3183,unknown
27,blue-collar,married,primary,no,no,yes,unknown,jun,27,422,unknown
32,admin.,divorced,secondary,no,no,yes,unknown,jun,27,856,unknown
41,blue-collar,single,secondary,no,yes,no,unknown,jul,1,479,unknown
37,technician,single,tertiary,no,no,no,unknown,jul,1,1135,unknown
27,technician,single,secondary,no,no,no,unknown,jul,1,650,unknown
29,services,single,secondary,no,no,yes,unknown,jul,3,587,unknown
33,services,married,secondary,no,no,yes,unknown,jul,3,676,unknown
36,technician,married,primary,no,no,no,unknown,jul,4,584,unknown
28,blue-collar,single,secondary,no,yes,no,cellular,jul,4,1044,unknown
55,blue-collar,married,secondary,no,yes,no,cellular,jul,7,494,unknown
51,technician,married,secondary,no,no,no,cellular,jul,7,615,unknown
39,technician,single,secondary,no,yes,no,cellular,jul,7,718,unknown
42,blue-collar,divorced,primary,no,yes,no,cellular,jul,7,434,unknown
33,services,single,secondary,no,no,no,cellular,jul,7,782,unknown
36,entrepreneur,divorced,tertiary,no,no,yes,cellular,jul,7,722,unknown
45,technician,married,secondary,no,no,no,cellular,jul,7,621,unknown
37,self-employed,married,secondary,no,no,no,cellular,jul,7,629,unknown
46,unemployed,married,secondary,no,no,no,cellular,jul,7,385,unknown
32,self-employed,single,tertiary,no,no,no,cellular,jul,7,889,unknown
28,technician,single,secondary,no,no,yes,cellular,jul,7,532,unknown
45,admin.,divorced,secondary,no,no,yes,cellular,jul,7,574,unknown
41,blue-collar,single,secondary,yes,yes,yes,cellular,jul,7,599,unknown
59,blue-collar,divorced,primary,no,no,yes,cellular,jul,7,849,unknown
47,technician,single,secondary,no,yes,yes,cellular,jul,7,973,unknown
31,blue-collar,single,secondary,no,no,no,cellular,jul,7,719,unknown
31,management,single,tertiary,no,no,yes,cellular,jul,8,509,unknown
33,entrepreneur,married,secondary,no,yes,yes,cellular,jul,8,740,unknown
52,entrepreneur,married,tertiary,yes,no,no,cellular,jul,8,534,unknown
26,self-employed,single,secondary,no,no,no,cellular,jul,8,531,unknown
25,technician,single,secondary,no,no,yes,cellular,jul,8,634,unknown
25,blue-collar,married,secondary,no,no,yes,cellular,jul,8,460,unknown
28,blue-collar,single,secondary,no,no,yes,cellular,jul,8,681,unknown
33,entrepreneur,divorced,tertiary,no,no,yes,cellular,jul,8,1082,unknown
45,management,divorced,tertiary,no,no,yes,cellular,jul,8,730,unknown
36,services,married,secondary,no,no,yes,cellular,jul,8,716,unknown
26,blue-collar,single,secondary,yes,no,yes,cellular,jul,8,803,unknown
38,technician,married,secondary,no,no,no,cellular,jul,8,635,unknown
56,blue-collar,single,secondary,no,no,yes,cellular,jul,8,819,unknown
26,admin.,single,secondary,no,no,yes,cellular,jul,8,658,unknown
26,technician,married,secondary,no,no,yes,cellular,jul,8,1061,unknown
25,blue-collar,single,secondary,no,no,yes,cellular,jul,8,687,unknown
26,unemployed,single,secondary,no,no,no,cellular,jul,9,537,unknown
40,blue-collar,married,primary,no,yes,no,cellular,jul,9,781,unknown
37,admin.,married,primary,no,yes,no,cellular,jul,9,645,unknown
43,blue-collar,single,primary,no,no,no,cellular,jul,9,1242,unknown
41,services,divorced,tertiary,no,yes,no,cellular,jul,9,662,unknown
49,blue-collar,married,secondary,no,no,yes,cellular,jul,9,625,unknown
